Sire,foal_count,total_sales,median_price,variance_sales,gini_coef,years_active,avg_price,foals_per_year
Shaman Ghost,17,883000,25000.0,73357.40469461425,0.5747784957697688,4,51941.17647058824,4.25
Shancelot,5,297000,55000.0,47056.34919965636,0.3919191919191919,1,59400.0,5.0
Shanghai Bobby,47,1837900,27000.0,37229.96080441951,0.47575111742935106,2,39104.255319148935,23.5
Sharp Azteca,48,2648000,40000.0,47075.01181719079,0.4109390735146022,4,55166.666666666664,12.0
Silent Name (JPN),11,802000,65000.0,56230.69365649786,0.4114713216957606,5,72909.09090909091,2.2
Silver Max,3,30500,7500.0,6898.067362191626,0.2841530054644809,2,10166.666666666666,1.5
Silver State,55,2931500,35000.0,59072.3504915167,0.5123718853208875,1,53300.0,55.0
Sir Prancealot (IRE),1,3500,3500.0,,0.0,1,3500.0,1.0
Siyouni (FR),1,150000,150000.0,,0.0,1,150000.0,1.0
Skipshot,2,4700,2350.0,1626.3455967290593,0.24468085106382986,1,2350.0,2.0
Sky Kingdom,11,267400,7000.0,53834.19832310043,0.7340042156796084,5,24309.090909090908,2.2
Sky Mesa,41,1439500,19000.0,50481.619451430284,0.5481747558010488,6,35109.756097560974,6.833333333333333
Slumber (GB),2,7000,3500.0,2121.3203435596424,0.2142857142857142,1,3500.0,2.0
Smarty Jones,3,21500,2500.0,8519.585279421372,0.4651162790697674,2,7166.666666666667,1.5
Snapy Halo (ARG),1,1000,1000.0,,0.0,1,1000.0,1.0
Snow Trouble,1,27000,27000.0,,0.0,1,27000.0,1.0
Society's Chairman,3,60000,20000.0,5000.0,0.11111111111111116,1,20000.0,3.0
Solomini,3,69000,15000.0,24020.824298928626,0.4444444444444445,1,23000.0,3.0
Speightster,90,4741000,30000.0,72590.05685737409,0.5596615810072887,5,52677.77777777778,18.0
Speightstown,180,41216000,180000.0,176919.98493008027,0.40244538259144236,7,228977.77777777778,25.714285714285715
Spun to Run,23,779000,22000.0,33603.71238666954,0.48747000055812917,2,33869.565217391304,11.5
Star Guitar,8,354500,15500.0,48651.04425542022,0.5375528913963329,3,44312.5,2.6666666666666665
Stay Thirsty,12,159300,6250.0,22746.513219312616,0.619428750784683,3,13275.0,4.0
Stormy Atlantic,13,295500,6000.0,50726.64297676624,0.6986854093453079,6,22730.76923076923,2.1666666666666665
Street Boss,116,5381400,31000.0,50523.09944185329,0.5062395633491092,7,46391.379310344826,16.571428571428573
Street Sense,252,45206000,127500.0,168990.11485846163,0.4701154643750759,7,179388.88888888888,36.0
Street Strategy,1,8000,8000.0,,0.0,1,8000.0,1.0
Stroll,1,4000,4000.0,,0.0,1,4000.0,1.0
Strong Mandate,32,1188400,13500.0,57219.12465082327,0.635628786603837,3,37137.5,10.666666666666666
Study of Man (IRE),1,140000,140000.0,,0.0,1,140000.0,1.0
Successful Appeal,5,314700,22000.0,105413.08267952323,0.6689545598983159,3,62940.0,1.6666666666666667
Summer Front,90,3883200,18000.0,60101.37540724584,0.6293143112209861,6,43146.666666666664,15.0
Super Saver,119,7940400,35000.0,86794.85599670616,0.5889157839348526,4,66726.05042016807,29.75
Tacitus,31,2490000,50000.0,74265.9128163898,0.45593988858660445,1,80322.58064516129,31.0
Take Charge Indy,45,2272500,27000.0,79098.47142529483,0.5927392739273928,4,50500.0,11.25
Tale of Ekati,25,357100,8500.0,18573.562752830523,0.5064127695323439,7,14284.0,3.5714285714285716
Tale of Verve,15,146500,8000.0,7050.498124921658,0.3158134243458476,3,9766.666666666666,5.0
Tale of the Cat,24,1535500,36000.0,77585.6440058153,0.5510013025073266,4,63979.166666666664,6.0
Tamarkuz,15,1032000,21000.0,83409.6602832755,0.570671834625323,4,68800.0,3.75
Tapit,174,77659000,350000.0,366177.18645251583,0.41379347347148226,7,446316.091954023,24.857142857142858
Tapiture,120,4568900,22000.0,43395.665461107106,0.5403231631246033,7,38074.166666666664,17.142857142857142
Tapizar,43,1658700,25000.0,40452.265184813856,0.5232649272826436,4,38574.41860465116,10.75
Tapwrit,66,2886000,31000.0,39614.11770667525,0.436044436044436,4,43727.27272727273,16.5
Temple City,71,2572900,19000.0,47214.587231965816,0.5663888887368285,7,36238.028169014084,10.142857142857142
Ten Sovereigns (IRE),4,124000,22000.0,31485.44637341725,0.46370967741935487,2,31000.0,2.0
Texas Red,7,81200,9200.0,7694.37023630481,0.3149190710767065,2,11600.0,3.5
Texas Ryano,1,3500,3500.0,,0.0,1,3500.0,1.0
The Big Beast,3,138000,5000.0,72753.0068107154,0.6135265700483092,3,46000.0,1.0
The Factor,101,4085200,25000.0,39711.82593147639,0.4875386931623741,6,40447.52475247525,16.833333333333332
The Gurkha (IRE),1,80000,80000.0,,0.0,1,80000.0,1.0
The Player,1,6000,6000.0,,0.0,1,6000.0,1.0
Thousand Words,31,975700,26000.0,33119.339443311525,0.4779364360409565,2,31474.1935483871,15.5
Tiz the Law,91,9463000,70000.0,108443.78928023232,0.4912922858606045,2,103989.01098901099,45.5
Tiznow,112,10457200,55000.0,112866.93849119774,0.5692192255780023,5,93367.85714285714,22.4
Tizway,2,4000,2000.0,707.1067811865476,0.125,1,2000.0,2.0
To Honor and Serve,5,85500,5000.0,18187.908071023452,0.47719298245614034,2,17100.0,2.5
